epoch,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_f1,val_auc
1,0.2190005522154186,0.9122455692283878,0.9481583083297614,0.9397522815706952,0.257223470920837,0.8925570228091236,0.9351449275362319,0.9286131143504619
2,0.1014222738567428,0.9607615509635478,0.9764847753994573,0.9880387812756632,0.20606430930950934,0.9232693077230892,0.9543262073482999,0.9562999774639517
3,0.0698551042537492,0.9736959213683152,0.9842185604587588,0.9942667073902146,0.28037852579737704,0.9169667867146859,0.9517469914539852,0.9539928583026626
4,0.05403934454792869,0.979616515749555,0.9877684184861169,0.996581322433124,0.21605165448439137,0.9291216486594638,0.957325703960247,0.9600407884267431
5,0.044062275990630104,0.9836022753656838,0.9901573088514538,0.997727746337789,0.2692148464705361,0.921968787515006,0.9545401561953608,0.9621964323890517
6,0.03616177143232547,0.9863884374274436,0.991831213241911,0.9984547522813014,0.21964418850984194,0.9295218087234894,0.9576914992643305,0.9637329704875115
7,0.033453892329803156,0.9871817196811392,0.9923068437157074,0.99864401438171,0.25904121255575374,0.9193677470988395,0.9512372194325126,0.9586082413649177
8,0.02720068512332765,0.9898324433093414,0.9938987931104545,0.9991258768964348,0.3230527444060214,0.9219187675070029,0.9541408384500132,0.9577423314294659
9,0.026145083023176113,0.990122668524108,0.9940729474460267,0.999163603491633,0.2630526040670652,0.9328231292517006,0.9603214465092919,0.9663893344009398
10,0.024173159024303174,0.9912448726878724,0.994747015085644,0.999247664814036,0.2487094250710818,0.9263205282112845,0.9565294378043382,0.9601717935170128
11,0.020987065127808024,0.9922509867657302,0.9953510508018132,0.9994566781896856,0.2656157748387945,0.9344737895158063,0.961000297707651,0.9618606180472952
12,0.02051201909804572,0.9922219642442536,0.995331335795415,0.9994888985156408,0.26145091707623164,0.9342737094837935,0.9611058489225669,0.9671824497093776
13,0.016014432937097266,0.9940310347496324,0.9964184753269519,0.9996857252565131,0.33871385808012167,0.9220688275310124,0.9541953313341566,0.954531183402854
14,0.02015228684300505,0.9924444702422414,0.9954656556801226,0.9995018940246686,0.2990115151038109,0.9269707883153261,0.9572599531615925,0.9613827478212223
15,0.016787944526425118,0.9937698320563424,0.9962625500551332,0.9996611843550915,0.25288908943141913,0.93562424969988,0.9612827532264372,0.9648804052601997
16,0.016455114654929853,0.993885922142249,0.9963309143686502,0.9996350836021188,0.23260195442412251,0.930422168867547,0.9580075471698113,0.9663592376625052
17,0.0152504080928564,0.9942825632690968,0.9965685619894212,0.9997135265640902,0.24957025834502447,0.9283213285314126,0.9573549980656489,0.9657925284265453
18,0.014377418023991353,0.9945437659623868,0.9967254232564621,0.9997549689990107,0.28551702535173135,0.9298219287715086,0.958369187857927,0.9615931275382237
19,0.015888250515354165,0.9942438665737946,0.9965456983785101,0.9997019855476287,0.2627216016689252,0.9257703081232493,0.9553791568945817,0.9655057305758363
20,0.013906686468138646,0.9949017103939324,0.9969409019405246,0.9997426729659266,0.3065590278360175,0.922468987595038,0.9542178638941399,0.9592412012829665
21,0.014663288451683716,0.9943793050073524,0.996626819398401,0.9997315900759134,0.3843898548518608,0.9164665866346539,0.9514929708376902,0.9592176034209652
22,0.013303274396964063,0.9949887779583624,0.9969927780228967,0.9997822808753933,0.27016783057123117,0.9339235694277711,0.960473953502289,0.9632454465906202
23,0.012658218720731675,0.9954724866496402,0.9972829873206075,0.999798674127528,0.2833262652438673,0.9311224489795918,0.9586920653967301,0.9610752094508553
24,0.013085934811247714,0.9950274746536646,0.9970157572661085,0.9997674946002342,0.32525438107798194,0.9225690276110444,0.9540188914631973,0.9499921734058153
25,0.012721170937916226,0.9954337899543378,0.9972597968069666,0.9997936650315132,0.26101586383601655,0.9314725890356143,0.958675193050193,0.9663868285928281
26,0.013170723416887888,0.9949887779583624,0.9969930224188174,0.9997904763233251,0.33231268796272895,0.9231192476990796,0.95503086690658,0.9580272814720352
27,0.011878552058857026,0.9955885767355468,0.9973526543123868,0.9998224091841905,0.2955566621018635,0.9295218087234894,0.9575128908723578,0.9646419208320753
28,0.013127014869240852,0.9950468230013156,0.9970270238883275,0.9997866234832614,0.2506874620511786,0.9300220088035214,0.958319678236258,0.9674211053977684
29,0.011254575334910685,0.9958788019503134,0.997526706920576,0.9998216824428225,0.296443757489034,0.9321728691476591,0.9601481220243343,0.9656603515555039
30,0.012462784335848255,0.9952693289993034,0.9971607568992447,0.9998036788476105,0.23817221928971868,0.9300720288115246,0.9575952438728464,0.9678722409948513
