epoch,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_f1,val_auc
1,0.2873642850789421,0.8828347814551967,0.9317677050541725,0.8871573273865739,0.24640680169370507,0.893192313421719,0.933951546043541,0.9414865570725619
2,0.15657636094668972,0.9376202162233866,0.9627074287753524,0.9711114752657818,0.23277677818815953,0.9138984060777595,0.9474672806592341,0.952914040060409
3,0.11228994447852556,0.9564071101678052,0.9738566641143187,0.9854639158711601,0.2453436500879287,0.9248721386364764,0.9562805212818216,0.9658894303127005
4,0.08654747542170642,0.9663228759036944,0.9797815894000179,0.9914333163108441,0.1820735986476849,0.9421520432990714,0.9652311457307429,0.9708246929340484
5,0.07019330537612023,0.9734529415666247,0.9840615635795279,0.9942798285024665,0.19379027890948142,0.9417548041114256,0.9651110912822343,0.9701838922809658
6,0.059829207650785185,0.9774656761955296,0.986466434966191,0.9958997078481197,0.22678269501836873,0.9352003575152689,0.9618365258078666,0.9689621838618286
7,0.0500923401888961,0.9808317304503549,0.9884949939290193,0.9971390529246797,0.21561868865885195,0.9329658870847609,0.9588915956151035,0.9727096330015879
8,0.04470527309353521,0.9832857995622472,0.9899673540887013,0.9976710273886318,0.2433893818868483,0.9395699885793733,0.964120404493057,0.972009072556781
9,0.03980231888681541,0.9854248192611262,0.9912562544141491,0.9980639880979899,0.2209093058260417,0.9365410397735736,0.9614246906127377,0.96997999914748
10,0.03364232227798836,0.9875804205080586,0.992547931031052,0.9986799038284898,0.2733018336282173,0.9375341377426883,0.9625193659873674,0.969528921414463
11,0.03173992495342281,0.9878457252769118,0.9927065402334305,0.9988094479354649,0.19755929893014437,0.947067878246189,0.968110565992581,0.9773189186031354
12,0.026120165761184196,0.9900842342641109,0.994049632828514,0.9991853353923028,0.2472445967263204,0.9379313769303341,0.9629300118623962,0.9709812839963119
13,0.02647207640887136,0.9905650991576573,0.9943383647923901,0.9991619272857049,0.2749499559213321,0.9381299965241571,0.9632816644073791,0.9685063768089914
14,0.02316477619438316,0.9910957086953638,0.9946562378720483,0.9993506913015819,0.23600153748741692,0.9449823725110482,0.9671236128419678,0.9757799021050318
15,0.019801053896506816,0.9928036081448564,0.9956815060996239,0.9995200611310451,0.2855441366463703,0.9391727493917275,0.9641319942611191,0.971681826695078
16,0.021225412509733452,0.9918418783577635,0.9951039904468106,0.9994725952145824,0.2845888625414758,0.9388748200009931,0.9637162142246588,0.9708368312258194
17,0.01896264428604787,0.9931849837500829,0.9959103256813636,0.9995752542641425,0.292429624330967,0.9417051492129699,0.9656202413025653,0.9736583895702401
18,0.017447278110999772,0.9932844730384028,0.9959694674721097,0.9996529140768814,0.2296739980538696,0.944088584338845,0.9667924973457591,0.9747540922280896
19,0.016414981821511965,0.9938979903163759,0.996338454190878,0.9996661177877213,0.3054728019965381,0.9377824122349669,0.9632238560652755,0.9716033182114591
20,0.015594114513183158,0.9938979903163759,0.996338454190878,0.9997142106628923,0.25836300179880434,0.9395699885793733,0.9638990240574293,0.9738360540557174
21,0.014271758400409786,0.9945778337865623,0.9967463010318305,0.9997639589463879,0.22784143576925728,0.9438403098465664,0.9663302670358132,0.9755369410631631
22,0.01586073551906367,0.9941964581813358,0.9965169970543747,0.9996503370194781,0.22732323569879057,0.9485078703014053,0.968910208364563,0.9787028613254467
23,0.01456508760782806,0.994511507594349,0.9967061726920818,0.9997363717743308,0.2931183429216254,0.9445851333234023,0.9672169672757183,0.9742484276741838
24,0.014250525923999096,0.9946773230748823,0.9968058112343897,0.999747573963995,0.25089452512541977,0.9469189135508218,0.9681930435300068,0.9769504753081768
25,0.011597657156345961,0.9959375207269351,0.9975623103328193,0.9998301110012592,0.28895484790747233,0.9429465216743632,0.9660671569061753,0.971844105363354
26,0.013400224502069142,0.9949592093917888,0.996974823365509,0.9997966596886031,0.2514889684942361,0.9456775410894285,0.9676216408192257,0.9740931675649653
27,0.012546236964409749,0.9952079326125887,0.9971244067223212,0.9998222067726235,0.27662956381881243,0.943343760862009,0.9663828408119973,0.9732418101401514
28,0.01373160355210003,0.9949426278437354,0.9969651439317804,0.9997620622479612,0.25154291404114026,0.9456775410894285,0.967417202763879,0.9756412434167957
29,0.013968019863747405,0.9949260462956822,0.9969557085439134,0.9997581867729176,0.2351963037264356,0.9512885446149263,0.9709238566643943,0.9775571680712245
30,0.012330769228611562,0.9955727266697619,0.9973430985242753,0.9997801975724891,0.23056009240068687,0.9487064898952282,0.9692842912788796,0.9780024339759446
31,0.009765768941342056,0.9965842011010148,0.997950330335111,0.9998629719442802,0.27796041499339985,0.9451313372064154,0.9672815562727622,0.9758765559151653
32,0.009822794708624417,0.9966173641971214,0.9979703512088349,0.999861958328072,0.24368724177851625,0.9501961368489001,0.97016568012136,0.9772248557149298
33,0.010649306722941806,0.9960204284672017,0.9976116551229998,0.9998614589366718,0.2377536435013886,0.9485078703014053,0.9690438520552852,0.9767889952117278
34,0.008315904034198796,0.9969655767062413,0.9981793037577976,0.9999205522671594,0.2988016822994071,0.9464720194647201,0.9679338449640074,0.9729067648936042
